date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-07-01	01:00	Japan	Construction Orders	-6.7%		-32.3%	
2026-07-01	01:00	Japan	Housing Starts	33.9%	31.8%	11.4%	
2026-07-01	02:00	United Kingdom	Business Investment	0.9%	0.7%	-3.0%	
2026-07-01	02:00	United Kingdom	Business Investment	-1.3%	-1.8%	1.8%	
2026-07-01	02:00	United Kingdom	Current Account	-22.1B	-22.2B	-27.2B	
2026-07-01	02:00	United Kingdom	GDP	0.6%	0.6%	0.1%	Y
2026-07-01	02:00	United Kingdom	GDP	0.9%	1.1%	0.9%	Y
2026-07-01	02:00	Germany	German Import Price Index	0.7%	0.4%	1.2%	
2026-07-01	02:00	Germany	German Import Price Index	6.8%		5.3%	
2026-07-01	02:00	Germany	German Retail Sales	1.1%	0.0%	-0.4%	Y
2026-07-01	02:00	Germany	German Retail Sales	1.8%	0.0%	-0.6%	Y
2026-07-01	02:00	South Africa	M3 Money Supply	9.59%		9.82%	
2026-07-01	02:00	South Africa	Private Sector Credit	8.57%		9.20%	
2026-07-01	02:45	France	French Consumer Spending	0.5%	0.2%	-0.5%	
2026-07-01	02:45	France	French CPI	-0.2%	0.0%	0.1%	Y
2026-07-01	02:45	France	French CPI	1.8%	2.1%	2.4%	Y
2026-07-01	02:45	France	French HICP	-0.3%	0.0%	0.1%	
2026-07-01	02:45	France	French HICP	2.0%	2.4%	2.8%	
2026-07-01	02:45	France	French PPI	-0.3%		-2.0%	Y
2026-07-01	02:45	France	PPI	3.00%		2.30%	Y
2026-07-01	03:00	Switzerland	KOF Leading Indicators	101.2	99.0	98.6	
2026-07-01	03:00	Switzerland	Official Reserves Assets	841.2B		848.5B	
2026-07-01	03:55	Germany	German Unemployment Change	-1K	7K	-12K	
2026-07-01	03:55	Germany	German Unemployment Rate	6.3%	6.3%	6.3%	Y
2026-07-01	03:55	Germany	German Unemployment	2.984M		2.987M	
2026-07-01	03:55	Germany	German Unemployment n.s.a.	2.936M		2.950M	
2026-07-01	04:00	Italy	Italian PPI	-0.2%		0.3%	Y
2026-07-01	04:00	Italy	Italian PPI	7.3%		6.8%	Y
2026-07-01	04:00	Germany	Baden Wuerttemberg CPI	-0.2%		-0.3%	Y
2026-07-01	04:00	Germany	Baden Wuerttemberg CPI	2.1%		2.4%	Y
2026-07-01	04:00	Germany	Bavaria CPI	2.5%		2.6%	Y
2026-07-01	04:00	Germany	Bavaria CPI	-0.2%		-0.2%	Y
2026-07-01	04:00	Germany	Brandenburg CPI	2.4%		2.8%	Y
2026-07-01	04:00	Germany	Brandenburg CPI	-0.2%		-0.1%	Y
2026-07-01	04:00	Germany	Hesse CPI	-0.2%		-0.2%	Y
2026-07-01	04:00	Germany	Hesse CPI	2.3%		2.6%	Y
